id;number;version;status;customer_id;reference;date;maturity;expiration_date;profit_margin;commission;discount;delivery_method_id;delivery_datetime;notes
1;45655;55024;Changed;5821;compressing Checking Account;2021-02-02;94553;2021-02-02;0;1;1;99072;2021-02-02;Bedfordshire
2;28138;1665;Accepted;30070;Representative Shoes Ergonomic;2021-02-03;56740;2021-02-03;1;0;0;281;2021-02-02;index Personal Loan Account Movies
3;69146;20152;NotAccepted;26259;District Bypass;2021-02-03;40439;2021-02-03;0;0;1;35972;2021-02-02;Falkland Islands (Malvinas) users Handmade
4;91348;31685;Accepted;39350;Home Loan Account purple;2021-02-02;27522;2021-02-02;0;0;1;84347;2021-02-03;indigo HTTP foreground
5;84143;36880;Accepted;87317;New Mexico;2021-02-03;69564;2021-02-03;1;1;1;43097;2021-02-03;withdrawal Sleek haptic
6;37930;22759;Completed;66243;Director New Hampshire invoice;2021-02-02;27587;2021-02-03;1;1;0;25214;2021-02-02;action-items
7;92903;9542;Accepted;76165;Credit Card Account seize;2021-02-02;13363;2021-02-03;1;0;1;98786;2021-02-02;Facilitator
8;66775;82070;NotAccepted;98904;Corporate Fantastic Concrete Chicken Gorgeous Frozen Cheese;2021-02-03;18922;2021-02-03;1;1;0;47583;2021-02-02;hack Namibia
9;56917;76346;Completed;62931;systems;2021-02-03;7119;2021-02-02;0;0;1;6114;2021-02-02;Response Credit Card Account
10;57580;50300;Accepted;76823;Oregon productize Belize;2021-02-02;66015;2021-02-02;0;0;1;66135;2021-02-03;Falkland Islands Pound
