id;number;acceptance_date;shipping_date;paid_date;close_date;extra_costs;extra_costs_description
1;85529;2021-02-03;2021-02-03;2021-02-02;2021-02-02;3510;Gorgeous Fresh Chicken
2;42719;2021-02-02;2021-02-03;2021-02-02;2021-02-02;45132;Micronesia Assimilated Center
3;97216;2021-02-02;2021-02-02;2021-02-02;2021-02-03;39320;extensible
4;4530;2021-02-02;2021-02-03;2021-02-02;2021-02-03;86518;technologies benchmark synthesize
5;90634;2021-02-03;2021-02-03;2021-02-03;2021-02-02;80801;Bike
6;62514;2021-02-03;2021-02-02;2021-02-03;2021-02-02;78300;optical
7;67092;2021-02-02;2021-02-03;2021-02-03;2021-02-03;36549;action-items
8;7336;2021-02-03;2021-02-02;2021-02-03;2021-02-02;96761;Buckinghamshire
9;43254;2021-02-03;2021-02-03;2021-02-03;2021-02-03;66503;Licensed Fresh Pants Fresh Corners
10;65358;2021-02-02;2021-02-02;2021-02-02;2021-02-03;48631;Soft Optional Kwacha
